site,latitude.WGS84,longitude.WGS84,area.ha,forest.cover.50,forest.cover.100,forest.cover.150,forest.cover.200,forest.cover.250,forest.cover.300,forest.cover.350,forest.cover.400,forest.cover.450,forest.cover.500,forest.cover.550,forest.cover.600,forest.cover.650,forest.cover.700,forest.cover.750,forest.cover.800,forest.cover.850,forest.cover.900,forest.cover.950,forest.cover.1000,forest.cover.1050,forest.cover.1100,forest.cover.1150,forest.cover.1200,forest.cover.1250,forest.cover.1300,forest.cover.1350,forest.cover.1400,forest.cover.1450,forest.cover.1500,forest.cover.1550,forest.cover.1600,forest.cover.1650,forest.cover.1700,forest.cover.1750,forest.cover.1800,forest.cover.1850,forest.cover.1900,forest.cover.1950,forest.cover.2000
Abusado,-1.76221,-59.67875,13.31,97.96,81.13,68.36,54.04,41.62,35.73,29.06,26.20,25.18,24.34,23.05,21.01,19.00,16.45,14.61,13.92,13.15,13.37,14.16,14.98,14.65,15.43,15.98,15.47,15.71,15.91,16.31,17.39,18.56,18.91,19.82,20.06,20.06,20.00,19.88,19.97,20.55,20.34,21.09,21.72
Adeus,-1.87378,-59.6624,50.08,97.78,86.60,70.24,53.44,41.40,34.92,31.18,29.45,28.91,30.20,29.82,29.60,27.66,26.23,25.90,25.67,25.17,24.88,24.15,23.71,23.76,23.27,22.71,22.82,22.32,21.89,22.44,22.68,23.71,24.56,24.81,25.45,25.57,25.72,27.18,27.29,27.37,28.19,28.29,28.36
Andre,-1.58461,-59.87198,2.08,66.67,30.67,17.16,11.17,7.79,6.94,8.27,12.05,14.91,17.50,20.73,23.82,26.82,29.59,31.86,33.50,36.06,38.44,39.75,40.73,41.51,42.57,43.14,44.15,44.61,44.78,45.09,44.72,44.42,44.62,43.63,43.04,43.18,43.07,43.67,43.65,43.55,43.58,43.34,43.05
Arrepiado,-1.51512,-59.73919,7.43,93.62,67.86,44.09,29.08,24.30,24.52,27.68,28.49,29.75,33.47,34.10,33.21,34.94,34.69,34.90,36.21,38.21,39.89,40.93,41.96,43.23,43.69,44.23,45.45,46.16,47.05,48.20,49.36,50.30,51.26,51.61,51.38,51.76,51.91,51.74,52.11,52.43,51.84,52.34,52.94
Bacaba,-1.50413,-59.82236,53.35,100.00,100.00,91.43,74.10,63.43,57.11,51.36,48.72,43.70,43.26,42.59,39.50,38.92,37.34,35.83,35.11,34.22,32.69,30.84,28.88,27.50,25.64,24.08,23.12,21.92,20.79,20.11,19.28,18.40,18.16,17.70,17.27,17.04,16.51,16.30,15.98,15.68,15.46,14.84,14.45
Beco_do_Catitu,-1.73954,-59.705,638.66,100.00,100.00,99.39,97.18,93.50,93.87,93.42,93.85,94.02,93.80,91.13,87.60,85.71,82.73,81.74,80.45,79.23,77.90,76.27,75.59,74.62,74.15,73.68,73.48,73.38,73.28,72.98,72.80,72.88,72.11,71.27,71.26,70.64,69.64,69.50,68.47,67.32,66.77,65.69,64.36
Cafundo,-1.50042,-59.6102,2.63,61.29,31.65,32.62,43.23,53.41,60.09,63.21,64.88,63.45,60.11,59.56,59.48,58.74,59.50,61.45,61.91,61.55,62.42,61.54,60.51,60.08,58.52,56.79,55.55,54.50,53.21,52.63,51.44,50.14,49.62,49.01,48.41,48.36,47.79,47.58,47.27,46.97,47.10,46.89,46.29
CF_Grid_NS2,-1.7948,-59.26587,NA,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,99.90,99.77
CF_Grid_NS3,-1.79088,-59.25671,NA,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
CF_Loreno,-1.8349,-59.71799,NA,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.80,98.65,97.94,97.91,97.04,96.42,95.70,95.08,94.70,94.61,94.57,94.47,94.64,94.60,94.60,94.54,94.51,94.61,94.74,94.81,94.90,94.71,94.62,94.57,94.38,94.03,93.65,93.41,93.14,92.81,92.62,92.20
