"","Automolus_infuscatus","Automolus_ochrolaemus","Bucco_tamatia","Campephilus_rubricollis","Celeus_elegans","Cercomacroides_tyrannina","Certhiasomus_stictolaemus","Coccycua_minuta","Conopophaga_aurita","Dendrocincla_fuliginosa","Dendrocolaptes_certhia","Epinecrophylla_gutturalis","Formicarius_analis","Formicarius_colma","Galbula_albirostris","Glyphorynchus_spirurus","Henicorhina_leucosticta","Hylexetastes_perrotii","Hylophylax_naevius","Hypocnemis_cantator","Isleria_guttata","Lophotriccus_galeatus","Lophotriccus_vitiosus","Mionectes_macconnelli","Monasa_atra","Myiarchus_tuberculifer","Myiobius_barbatus","Myrmoderus_ferrugineus","Myrmotherula_axillaris","Myrmotherula_menetriesii","Nasica_longirostris","Onychorhynchus_coronatus","Percnostola_rufifrons","Pheugopedius_coraya","Philydor_erythrocercum","Philydor_pyrrhodes","Pithys_albifrons","Platyrinchus_coronatus","Platyrinchus_saturatus","Ramphotrigon_ruficauda","Rhynchocyclus_olivaceus","Rhytipterna_simplex","Saltator_grossus","Saltator_maximus","Sclerurus_rufigularis","Sittasomus_griseicapillus","Synallaxis_rutilans","Terenotriccus_erythrurus","Thamnomanes_ardesiacus","Thamnomanes_caesius","Thamnophilus_murinus","Thamnophilus_punctatus","Tolmomyias_poliocephalus","Trogon_rufus","Turdus_albicollis","Willisornis_poecilinotus","Xenops_minutus","Xiphorhynchus_obsoletus","Xiphorhynchus_pardalotus"
"Abusado",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adeus",0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"Andre",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrepiado",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bacaba",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Beco_do_Catitu",0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,8,0,0,0,3,3,0,0,3,1,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,0,0,5
"Cafundo",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cipoal",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3
"Coata",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,4,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
"Formiga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furo_de_Santa_Luzia",0,1,0,0,0,0,0,0,0,3,3,1,1,1,1,10,0,0,0,10,3,0,0,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,7,1,0,4
"Fuzaca",1,0,0,0,1,2,2,0,2,1,0,0,0,1,3,8,3,0,0,12,6,0,0,1,0,0,4,2,6,0,0,0,9,2,2,2,2,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,2,1
